# {"t_start": 1713454733.7462618, "env_id": null} 
r,l,t
-915.393905,202,0.869547
-1030.304568,202,0.945951
-1497.243308,202,1.018855
-790.104335,202,1.090574
-874.522241,202,1.234753
-975.885039,202,2.092896
-1638.852388,202,2.970542
-1607.810843,202,3.83902
-1400.963892,202,4.718911
-794.277708,202,5.59725
-1080.997996,202,6.487755
-832.9352,202,7.369028
-1432.11067,202,8.26235
-918.866263,202,9.124882
-1573.331856,202,10.072088
-973.840926,202,11.090394
-1662.148034,202,11.993838
-752.30875,202,12.896402
-1359.080249,202,13.760224
